share_code,trade_date,weight
601899.SH,2020-08-03,0.4737
600999.SH,2020-08-03,0.4715
600588.SH,2020-08-03,0.4641
002007.SZ,2020-08-03,0.4612
002594.SZ,2020-08-03,0.4609
603986.SH,2020-08-03,0.4521
300601.SZ,2020-08-03,0.4503
600690.SH,2020-08-03,0.4422
601766.SH,2020-08-03,0.4256
601169.SH,2020-08-03,0.4252
000876.SZ,2020-08-03,0.4228
600438.SH,2020-08-03,0.4169
601988.SH,2020-08-03,0.4153
002410.SZ,2020-08-03,0.4052
600009.SH,2020-08-03,0.3882
600104.SH,2020-08-03,0.3801
601628.SH,2020-08-03,0.3679
002027.SZ,2020-08-03,0.3649
600436.SH,2020-08-03,0.3641
601818.SH,2020-08-03,0.3589
600703.SH,2020-08-03,0.3572
002271.SZ,2020-08-03,0.3555
000538.SZ,2020-08-03,0.3501
002230.SZ,2020-08-03,0.3426
002555.SZ,2020-08-03,0.3413
600745.SH,2020-08-03,0.3383
002371.SZ,2020-08-03,0.335
600919.SH,2020-08-03,0.3324
300347.SZ,2020-08-03,0.3297
300003.SZ,2020-08-03,0.3294
300014.SZ,2020-08-03,0.3278
600547.SH,2020-08-03,0.327
001979.SZ,2020-08-03,0.3265
300124.SZ,2020-08-03,0.3243
000895.SZ,2020-08-03,0.3179
600028.SH,2020-08-03,0.3165
000166.SZ,2020-08-03,0.3143
002311.SZ,2020-08-03,0.3079
601088.SH,2020-08-03,0.3034
600406.SH,2020-08-03,0.296
300413.SZ,2020-08-03,0.2941
002129.SZ,2020-08-03,0.2903
603019.SH,2020-08-03,0.2865
600050.SH,2020-08-03,0.2839
000776.SZ,2020-08-03,0.2808
601788.SH,2020-08-03,0.2797
600809.SH,2020-08-03,0.2777
601009.SH,2020-08-03,0.2777
000938.SZ,2020-08-03,0.2759
300136.SZ,2020-08-03,0.2706
601390.SH,2020-08-03,0.2701
601989.SH,2020-08-03,0.2701
601336.SH,2020-08-03,0.2682
300433.SZ,2020-08-03,0.267
600019.SH,2020-08-03,0.2612
000157.SZ,2020-08-03,0.2593
002460.SZ,2020-08-03,0.2585
601857.SH,2020-08-03,0.2568
002050.SZ,2020-08-03,0.2564
600958.SH,2020-08-03,0.253
002044.SZ,2020-08-03,0.2508
002024.SZ,2020-08-03,0.2448
600352.SH,2020-08-03,0.2438
601939.SH,2020-08-03,0.2437
601186.SH,2020-08-03,0.2419
601108.SH,2020-08-03,0.2389
603160.SH,2020-08-03,0.234
600015.SH,2020-08-03,0.2328
601377.SH,2020-08-03,0.2318
000977.SZ,2020-08-03,0.2315
002236.SZ,2020-08-03,0.2294
601006.SH,2020-08-03,0.2287
002456.SZ,2020-08-03,0.2279
002001.SZ,2020-08-03,0.2277
600660.SH,2020-08-03,0.2218
002624.SZ,2020-08-03,0.2184
600893.SH,2020-08-03,0.2153
002602.SZ,2020-08-03,0.2153
002202.SZ,2020-08-03,0.2136
601901.SH,2020-08-03,0.2135
000768.SZ,2020-08-03,0.2127
600109.SH,2020-08-03,0.2121
601555.SH,2020-08-03,0.209
601933.SH,2020-08-03,0.2089
000066.SZ,2020-08-03,0.2087
002008.SZ,2020-08-03,0.2074
600346.SH,2020-08-03,0.2063
603501.SH,2020-08-03,0.2052
000783.SZ,2020-08-03,0.2021
601877.SH,2020-08-03,0.1998
600741.SH,2020-08-03,0.1993
002736.SZ,2020-08-03,0.1974
600183.SH,2020-08-03,0.1965
000860.SZ,2020-08-03,0.1928
601669.SH,2020-08-03,0.1918
601225.SH,2020-08-03,0.1912
600383.SH,2020-08-03,0.1907
002493.SZ,2020-08-03,0.1907
600089.SH,2020-08-03,0.1902
603993.SH,2020-08-03,0.1893
300033.SZ,2020-08-03,0.1866
601155.SH,2020-08-03,0.183
300408.SZ,2020-08-03,0.1823
000069.SZ,2020-08-03,0.1805
000425.SZ,2020-08-03,0.1802
600606.SH,2020-08-03,0.1764
300144.SZ,2020-08-03,0.1753
603799.SH,2020-08-03,0.1748
601138.SH,2020-08-03,0.1746
002463.SZ,2020-08-03,0.1744
600522.SH,2020-08-03,0.1728
002157.SZ,2020-08-03,0.1707
600760.SH,2020-08-03,0.1705
600111.SH,2020-08-03,0.1685
600176.SH,2020-08-03,0.1674
002120.SZ,2020-08-03,0.1671
601800.SH,2020-08-03,0.1661
600705.SH,2020-08-03,0.1655
603369.SH,2020-08-03,0.1646
600340.SH,2020-08-03,0.1645
601216.SH,2020-08-03,0.1637
002841.SZ,2020-08-03,0.1631
601985.SH,2020-08-03,0.1624
600010.SH,2020-08-03,0.1587
000786.SZ,2020-08-03,0.1538
601607.SH,2020-08-03,0.1535
600061.SH,2020-08-03,0.1511
000963.SZ,2020-08-03,0.1485
601162.SH,2020-08-03,0.1483
002179.SZ,2020-08-03,0.1483
601066.SH,2020-08-03,0.1477
601100.SH,2020-08-03,0.1453
600795.SH,2020-08-03,0.1433
000596.SZ,2020-08-03,0.1433
600029.SH,2020-08-03,0.1424
603899.SH,2020-08-03,0.1414
600886.SH,2020-08-03,0.1382
601919.SH,2020-08-03,0.1359
002422.SZ,2020-08-03,0.1359
600487.SH,2020-08-03,0.1357
600926.SH,2020-08-03,0.1357
600118.SH,2020-08-03,0.1356
002466.SZ,2020-08-03,0.1346
002601.SZ,2020-08-03,0.1337
002916.SZ,2020-08-03,0.1334
601878.SH,2020-08-03,0.1322
601600.SH,2020-08-03,0.13
601727.SH,2020-08-03,0.13
000625.SZ,2020-08-03,0.1291
600637.SH,2020-08-03,0.1284
002607.SZ,2020-08-03,0.128
000728.SZ,2020-08-03,0.1279
600332.SH,2020-08-03,0.1251
002252.SZ,2020-08-03,0.1248
600489.SH,2020-08-03,0.123
601111.SH,2020-08-03,0.1229
600011.SH,2020-08-03,0.1225
600271.SH,2020-08-03,0.1211
603658.SH,2020-08-03,0.1206
600498.SH,2020-08-03,0.1202
600115.SH,2020-08-03,0.1198
601360.SH,2020-08-03,0.1195
601618.SH,2020-08-03,0.1192
600867.SH,2020-08-03,0.1173
600233.SH,2020-08-03,0.1161
600369.SH,2020-08-03,0.1158
601198.SH,2020-08-03,0.1141
000656.SZ,2020-08-03,0.1124
000703.SZ,2020-08-03,0.111
600066.SH,2020-08-03,0.1103
600068.SH,2020-08-03,0.1102
600177.SH,2020-08-03,0.1098
002508.SZ,2020-08-03,0.1091
601816.SH,2020-08-03,0.109
600221.SH,2020-08-03,0.1079
601838.SH,2020-08-03,0.1074
003816.SZ,2020-08-03,0.1072
600390.SH,2020-08-03,0.1065
002673.SZ,2020-08-03,0.1047
000961.SZ,2020-08-03,0.1043
300628.SZ,2020-08-03,0.1038
601881.SH,2020-08-03,0.1034
601997.SH,2020-08-03,0.103
601231.SH,2020-08-03,0.1028
600297.SH,2020-08-03,0.1026
600219.SH,2020-08-03,0.1024
601633.SH,2020-08-03,0.101
600362.SH,2020-08-03,0.0997
601018.SH,2020-08-03,0.0986
600516.SH,2020-08-03,0.0982
600655.SH,2020-08-03,0.0954
600038.SH,2020-08-03,0.0949
002958.SZ,2020-08-03,0.0942
601998.SH,2020-08-03,0.0938
600018.SH,2020-08-03,0.0935
603833.SH,2020-08-03,0.0929
601319.SH,2020-08-03,0.0911
600998.SH,2020-08-03,0.0895
600085.SH,2020-08-03,0.0894
002739.SZ,2020-08-03,0.0894
600208.SH,2020-08-03,0.0885
600004.SH,2020-08-03,0.087
601021.SH,2020-08-03,0.0862
002146.SZ,2020-08-03,0.0856
601117.SH,2020-08-03,0.0853
600848.SH,2020-08-03,0.0834
600170.SH,2020-08-03,0.0827
002032.SZ,2020-08-03,0.0822
002939.SZ,2020-08-03,0.0808
002558.SZ,2020-08-03,0.0786
600482.SH,2020-08-03,0.0783
002938.SZ,2020-08-03,0.0774
603156.SH,2020-08-03,0.075
600674.SH,2020-08-03,0.0749
601658.SH,2020-08-03,0.0741
002773.SZ,2020-08-03,0.0729
002153.SZ,2020-08-03,0.0719
600027.SH,2020-08-03,0.0702
000627.SZ,2020-08-03,0.0689
000671.SZ,2020-08-03,0.0677
600977.SH,2020-08-03,0.0653
601992.SH,2020-08-03,0.0644
600583.SH,2020-08-03,0.0636
601698.SH,2020-08-03,0.0599
002468.SZ,2020-08-03,0.0598
601238.SH,2020-08-03,0.0595
600372.SH,2020-08-03,0.0592
000709.SZ,2020-08-03,0.0569
601916.SH,2020-08-03,0.0533
601577.SH,2020-08-03,0.0524
601236.SH,2020-08-03,0.0517
000723.SZ,2020-08-03,0.0493
600188.SH,2020-08-03,0.0491
601808.SH,2020-08-03,0.049
600989.SH,2020-08-03,0.0489
600398.SH,2020-08-03,0.0484
601898.SH,2020-08-03,0.0449
600928.SH,2020-08-03,0.0449
000708.SZ,2020-08-03,0.0411
600025.SH,2020-08-03,0.0407
601077.SH,2020-08-03,0.0357
600968.SH,2020-08-03,0.0309
601212.SH,2020-08-03,0.0301
601298.SH,2020-08-03,0.0283
002945.SZ,2020-08-03,0.0276
600299.SH,2020-08-03,0.0272
601828.SH,2020-08-03,0.0263
603260.SH,2020-08-03,0.0263
600519.SH,2020-09-30,5.131
601318.SH,2020-09-30,5.056
000858.SZ,2020-09-30,2.625
600036.SH,2020-09-30,2.272
000333.SZ,2020-09-30,2.177
600276.SH,2020-09-30,2.042
000651.SZ,2020-09-30,1.57
600030.SH,2020-09-30,1.566
002475.SZ,2020-09-30,1.465
600887.SH,2020-09-30,1.429
601888.SH,2020-09-30,1.332
601166.SH,2020-09-30,1.23
601012.SH,2020-09-30,1.212
000002.SZ,2020-09-30,1.167
601398.SH,2020-09-30,1.055
600900.SH,2020-09-30,1.03
300059.SZ,2020-09-30,1.012
603288.SH,2020-09-30,0.964
000001.SZ,2020-09-30,0.901
600031.SH,2020-09-30,0.899
002415.SZ,2020-09-30,0.872
600837.SH,2020-09-30,0.836
000725.SZ,2020-09-30,0.814
600585.SH,2020-09-30,0.812
601328.SH,2020-09-30,0.763
601688.SH,2020-09-30,0.74
600048.SH,2020-09-30,0.696
600016.SH,2020-09-30,0.69
002714.SZ,2020-09-30,0.679
600000.SH,2020-09-30,0.675
600309.SH,2020-09-30,0.666
002352.SZ,2020-09-30,0.658
601668.SH,2020-09-30,0.652
002594.SZ,2020-09-30,0.645
603259.SH,2020-09-30,0.644
000568.SZ,2020-09-30,0.643
000661.SZ,2020-09-30,0.641
300015.SZ,2020-09-30,0.634
002142.SZ,2020-09-30,0.579
002241.SZ,2020-09-30,0.562
601288.SH,2020-09-30,0.557
000063.SZ,2020-09-30,0.546
300122.SZ,2020-09-30,0.546
300498.SZ,2020-09-30,0.534
601601.SH,2020-09-30,0.52
601899.SH,2020-09-30,0.517
000100.SZ,2020-09-30,0.509
002027.SZ,2020-09-30,0.507
600690.SH,2020-09-30,0.505
600570.SH,2020-09-30,0.504
601211.SH,2020-09-30,0.503
601229.SH,2020-09-30,0.495
600999.SH,2020-09-30,0.492
300142.SZ,2020-09-30,0.479
002304.SZ,2020-09-30,0.461
601628.SH,2020-09-30,0.453
600436.SH,2020-09-30,0.449
000338.SZ,2020-09-30,0.443
601169.SH,2020-09-30,0.424
600438.SH,2020-09-30,0.418
601988.SH,2020-09-30,0.413
600104.SH,2020-09-30,0.41
601766.SH,2020-09-30,0.409
600009.SH,2020-09-30,0.406
002410.SZ,2020-09-30,0.404
002007.SZ,2020-09-30,0.382
600588.SH,2020-09-30,0.38
300601.SZ,2020-09-30,0.375
300124.SZ,2020-09-30,0.368
600196.SH,2020-09-30,0.363
002271.SZ,2020-09-30,0.362
000876.SZ,2020-09-30,0.357
601818.SH,2020-09-30,0.356
603986.SH,2020-09-30,0.349
600919.SH,2020-09-30,0.344
600703.SH,2020-09-30,0.335
601088.SH,2020-09-30,0.332
300347.SZ,2020-09-30,0.331
000895.SZ,2020-09-30,0.323
002230.SZ,2020-09-30,0.323
600028.SH,2020-09-30,0.32
000538.SZ,2020-09-30,0.319
600809.SH,2020-09-30,0.317
601336.SH,2020-09-30,0.317
002555.SZ,2020-09-30,0.308
002311.SZ,2020-09-30,0.297
001979.SZ,2020-09-30,0.294
300413.SZ,2020-09-30,0.294
000166.SZ,2020-09-30,0.293
601009.SH,2020-09-30,0.29
000776.SZ,2020-09-30,0.286
600547.SH,2020-09-30,0.284
300014.SZ,2020-09-30,0.279
600406.SH,2020-09-30,0.279
600660.SH,2020-09-30,0.278
600050.SH,2020-09-30,0.276
600019.SH,2020-09-30,0.272
601390.SH,2020-09-30,0.269
600745.SH,2020-09-30,0.267
601788.SH,2020-09-30,0.262
300136.SZ,2020-09-30,0.259
300433.SZ,2020-09-30,0.259
000157.SZ,2020-09-30,0.257
300003.SZ,2020-09-30,0.257
002460.SZ,2020-09-30,0.254
601939.SH,2020-09-30,0.253
002129.SZ,2020-09-30,0.247
002050.SZ,2020-09-30,0.244
601857.SH,2020-09-30,0.244
600958.SH,2020-09-30,0.242
601989.SH,2020-09-30,0.242
002371.SZ,2020-09-30,0.241
600346.SH,2020-09-30,0.24
600741.SH,2020-09-30,0.24
603019.SH,2020-09-30,0.24
002044.SZ,2020-09-30,0.238
601377.SH,2020-09-30,0.238
002736.SZ,2020-09-30,0.237
002001.SZ,2020-09-30,0.235
601186.SH,2020-09-30,0.233
601006.SH,2020-09-30,0.232
600015.SH,2020-09-30,0.231
600893.SH,2020-09-30,0.227
